gpu,problem_dim,grid_n,rows,nnz,kernel_variant,block_size,avg_spmv_ms,spmv_gbps,bw_efficiency_pct
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,64,0.0142,368.82,295.53
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,128,0.0126,415.62,333.03
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,256,0.0139,377.53,302.51
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,row_per_thread,512,0.0128,409.62,328.22
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,64,0.0652,80.18,64.24
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,128,0.053,98.69,79.08
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,256,0.0529,98.8,79.17
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,warp_per_row,512,0.0657,79.66,63.83
NVIDIA GeForce RTX 4090 Laptop GPU,2D,256,65536,326656,cusparse,0,0.0223,234.53,187.92
[2D N=512] 262144 x 262144, nnz = 1308672, avg nnz/row = 4.99, memory ~ 19.98 MB,,,,,,
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,64,0.0274,763.62,611.88
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,128,0.0156,1345.04,1077.76
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,256,0.0147,1420.68,1138.36
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,row_per_thread,512,0.0167,1253.43,1004.35
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,64,0.2158,97.06,77.77
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,128,0.229,91.46,73.29
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,256,0.2191,95.62,76.62
NVIDIA GeForce RTX 4090 Laptop GPU,2D,512,262144,1308672,warp_per_row,512,0.2289,91.51,73.33
